Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
51839.400462239275,2.8299932,-499.9509,4780.807391527729,21.88825
51840.40046228678,2.8296783,-499.83261,4780.946254970281,21.730719
51841.40046233428,2.8294027,-499.9509,4781.085118248548,21.70709
51842.40046238177,2.8291664,-499.83261,4781.223980179666,21.801607
51843.400462429265,2.8288515,-499.91147,4781.362843107455,21.628325
51844.40046247677,2.8285758,-499.89175,4781.50170587094,21.777977
51845.40046252427,2.8283397999999997,-499.99033,4781.640569883052,21.644075
51846.40046257176,2.8279853,-499.99033,4781.779432602745,21.880373000000002
51847.400462619255,2.8276703,-499.97060999999997,4781.918296209584,21.65983
51848.40046266676,2.8274342999999997,-499.93118,4782.057159279737,21.68346
51849.40046271426,2.8270404,-499.97060999999997,4782.196023302785,21.770101999999998
51850.40046276175,2.8267648,-499.91147,4782.334887347805,21.70709
51851.40046280925,2.8265681000000002,-499.87204,4782.473750669881,21.738595999999998
51852.40046285675,2.8262532000000005,-499.91147,4782.612613740017,21.935510999999998
51853.40046290425,2.8260169,-499.87204,4782.751476810204,21.904004999999998
51854.40046295174,2.8256626,-499.9509,4782.890339420355,22.022152
51855.40046299924,2.8254262999999997,-499.87204,4783.029201110487,21.990645999999998
51856.40046304674,2.8251114,-500.01004000000006,4783.168063260638,22.171808
51857.400463094236,2.8247964,-499.87204,4783.306925958442,22.116671
51858.40046314173,2.8245994999999997,-499.93118,4783.445788360531,21.494421
51859.40046318923,2.8242452,-499.83261,4783.584650718828,21.557434
51860.40046323673,2.8238909,-499.9509,4783.72351392046,21.714966
51861.400463284226,2.8236942000000003,-499.99033,4783.862378261163,21.809484
51862.400463331716,2.8233004,-499.87204,4784.0012415065885,21.959141
51863.40046337922,2.8230247000000004,-499.93118,4784.14010511341,22.116671
51864.40046342672,2.8227887000000003,-499.91147,4784.278968731218,22.045782
51865.400463474216,2.8224737999999996,-499.8129,4784.417832294263,21.754348999999998
51866.400463521706,2.8221588,-499.97060999999997,4784.556695769673,22.069412
51867.40046356921,2.8218438999999997,-499.93118,4784.695558336066,22.124548
51868.40046361671,2.8216076,-499.91147,4784.834421625353,21.927633
51869.400463664206,2.821332,-499.91147,4784.973285615526,21.872498
51870.400463711696,2.8209777000000003,-499.93118,4785.1121489923635,22.045782
51871.4004637592,2.8207021,-500.01004000000006,4785.251013519273,22.171808
51872.4004638067,2.8203871,-499.79318,4785.389876600447,21.61257
51873.4004638542,2.8199935000000003,-499.89175,4785.528739276296,22.045782
