#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
57000 22114.138126719572 288.04375016824696
57500 22234.407576430418 290.50273822891745
58000 22199.463682520964 289.8466309199195
58500 22187.169785845854 289.6799130764275
59000 22198.94529949484 286.47382380869703
59500 22237.84262119589 290.92396362718176
60000 22331.852355349638 299.7901487141759
60500 22284.75341831503 302.81179698027745
61000 22249.19839512167 307.8236207285331
61500 22222.319052565672 286.47863008886975
62000 22241.697912562468 290.7012476131354
62500 22346.475500453093 287.37379977104314
63000 22246.124534953215 302.4814903819475
63500 22314.086717951872 293.30509996213755
64000 22261.16843067465 300.9386744464969
64500 22240.269487727262 294.47615513276827
65000 22281.531217921354 307.423472871443
65500 22307.790078509428 284.2283897904935
66000 22234.94954334555 275.2567168667913
66500 22224.336668360807 278.30890503815715
67000 22266.233969081022 292.3704787302128
67500 22256.479736912825 293.9794561161663
68000 22198.034853804686 293.98731638686553
68500 22296.495224345304 291.4729309406623
69000 22218.543758738615 285.93061401834007
69500 22169.404972422697 295.7701709711517
70000 22323.126476634123 282.303274319636
70500 22358.1807416564 307.6706959078285
71000 22283.238844264128 289.62476601798716
71500 22305.69189869223 293.0457610944833
72000 22347.767350066282 277.7877740973438
72500 22252.172435153105 306.79717951914165
73000 22326.97389684973 294.1260726941443
73500 22293.189335215666 306.3838394242857
74000 22281.046807635405 293.66787398434275
74500 22360.957200873472 297.2196649665815
75000 22240.725563395597 308.09998183846585
75500 22175.144536364653 326.80930355569194
76000 22221.542276728727 323.3665800875815
76500 22146.689986575224 292.8833238442701
77000 22274.369543421843 288.3581359635047
77500 22170.31438289938 296.333832484952
78000 22256.810265887358 274.84445317843245
78500 22173.807779658415 303.1626804655969
79000 22198.87262092886 294.9791874248062
79500 22178.70976673422 299.68959232118686
80000 22158.860473979094 308.01101558985164
80500 22351.75383793173 302.69657141967775
81000 22383.949299204924 287.99661357676115
81500 22259.203854907133 308.85444266204036
82000 22279.96993194876 306.96802775965716
82500 22355.527320254423 323.1958570106122
83000 22346.77149807272 307.94507943373185
83500 22382.40111290274 301.42458436541943
84000 22257.675201762297 293.6179337294228
84500 22161.592893946745 295.88622261115603
85000 22246.21395860968 312.6804169085086
85500 22288.438570368864 295.7886951759841
